command	option	evidence	notes
diff-index	-G	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -G is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-I	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -I is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-M	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -M is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-O	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -O is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-R	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -R is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-S	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -S is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-U	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -U is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-a	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -a is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-b	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -b is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-m	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -m is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-p	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -p is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-s	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -s is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-u	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -u is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-w	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -w is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-index	-z	docs/cli/matrices/diff_index_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-index.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: -z is covered by the existing exact stock-Git diff-index evidence on the current helper-free local lanes, including parser parity, output parity, and documented cached, worktree, and patch-format compositions where modeled.
diff-tree	--abbrev	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --abbrev is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--anchored	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --anchored is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--binary	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --binary is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--break-rewrites	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --break-rewrites is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--cc	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --cc is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--color	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --color is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--compact-summary	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --compact-summary is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--default-prefix	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --default-prefix is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--diff-algorithm	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --diff-algorithm is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--diff-filter	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --diff-filter is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--dst-prefix	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --dst-prefix is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--exit-code	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --exit-code is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--find-copies	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --find-copies is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--find-copies-harder	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --find-copies-harder is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--find-renames	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --find-renames is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--format	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --format is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--full-index	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --full-index is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--histogram	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --histogram is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--ignore-all-space	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --ignore-all-space is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--ignore-blank-lines	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --ignore-blank-lines is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--ignore-cr-at-eol	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --ignore-cr-at-eol is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--ignore-matching-lines	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --ignore-matching-lines is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--ignore-space-at-eol	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --ignore-space-at-eol is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--ignore-space-change	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --ignore-space-change is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--ignore-submodules	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --ignore-submodules is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--inter-hunk-context	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --inter-hunk-context is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--irreversible-delete	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --irreversible-delete is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--minimal	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --minimal is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--name-only	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --name-only is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--name-status	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --name-status is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--no-color	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --no-color is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--no-color-moved	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --no-color-moved is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--no-color-moved-ws	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --no-color-moved-ws is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--no-ext-diff	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --no-ext-diff is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--no-patch	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --no-patch is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--no-prefix	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --no-prefix is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--no-relative	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --no-relative is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--no-textconv	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --no-textconv is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--notes	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --notes is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--numstat	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --numstat is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--output-indicator-context	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --output-indicator-context is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--output-indicator-new	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --output-indicator-new is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--output-indicator-old	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --output-indicator-old is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--patch	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --patch is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--patch-with-raw	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --patch-with-raw is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--patch-with-stat	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --patch-with-stat is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--patience	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --patience is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--pickaxe-all	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --pickaxe-all is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--pickaxe-regex	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --pickaxe-regex is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--pretty	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --pretty is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--quiet	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --quiet is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--raw	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --raw is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
diff-tree	--relative	docs/cli/matrices/diff_tree_v2_47.tsv; target/git-doc-cache/v2.47.1/git-diff-tree.txt; crates/zmin-cli/tests/git_diff_compat.rs; tools/git-diff-plumbing-schema-gap-probe.sh	Reviewed complete doc-option pair: --relative is covered by the existing exact stock-Git diff-tree evidence on the current helper-free local lanes, including parser parity, output parity, and documented commit-range, root, stdin, and patch-format compositions where modeled.
